Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Land,Fylke,Postnummer,Kommune,Latitude,Longitude,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
2690000,Enebolig,Eier (Selveier),3,75,80,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=148265640&location=0.22042&page=16&sort=PUBLISHED_DESC,148265640,"56 days, 0:00:00",1, Norge,Agder,4900, Tvedestrand,58.628067,8.9513339,58750,2398750,,,,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1
3210000,Tomannsbolig,Eier (Selveier),4,166,255,,2006,C - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=145466072,145466072,"91 days, 0:00:00",0,,Agder,,,,,85000,3295000,12350,1650000,,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1
2490000,Enebolig,Eier (Selveier),2,122,128,2,1950,G,https://www.finn.no/realestate/homes/ad.html?finnkode=144807187,144807187,"302 days, 0:00:00",0, Norge,Agder,4515, Lindesnes,58.029288,7.4763418,0,2490000,,2456000,448,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1
2390000,Leilighet,Eier (Selveier),3,70,70,4,2010,,https://www.finn.no/realestate/homes/ad.html?finnkode=144504825,144504825,"525 days, 0:00:00",0,,Agder,,,,,5650,2395650,,0,,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
3148000,Enebolig,Eier (Selveier),2,86,86,1,2019,C,https://www.finn.no/realestate/homes/ad.html?finnkode=143981887,143981887,"530 days, 0:00:00",0,,Agder,,,,,43000,3191000,14500,0,799,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1
5000000,Enebolig,Eier (Selveier),4,148,148,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=142550879&location=0.22042&page=16&sort=PUBLISHED_DESC,142550879,"12 days, 0:00:00",1,,Agder,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4750000,Leilighet,Eier (Selveier),,333,453,3,1903,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=123166123,123166123,"15 days, 0:00:00",0,,Agder,,,,,129700,4879700,,,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350000,Leilighet,Eier (Selveier),1,33,33,,1974,E - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=133522331,133522331,"509 days, 0:00:00",0, Norge,Agder,4879, Grimstad,58.3283903,8.5787545,33750,1383750,450,1100000,,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
2600000,Leilighet,Eier (Selveier),2,93,96,,2018,,https://www.finn.no/realestate/homes/ad.html?finnkode=132867460,132867460,"364 days, 0:00:00",0, Norge,Agder,4596, Hægebostad,58.4634813,7.2310658,3500,2603500,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,Enebolig,Eier (Selveier),3,91,91,1,2021,B - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=127293851,127293851,"56 days, 0:00:00",0,,Agder,,,,,1,2000001,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
2130000,Leilighet,Eier (Selveier),3,63,102,2.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=128012108&location=0.22042&page=16&sort=PUBLISHED_DESC,128012108,"113 days, 0:00:00",1,,Agder,,,,,15000,2145000,,,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
