Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
11490000,,,,218,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239852704&location=0.20016&page=2&sort=PUBLISHED_DESC,239852704,0,1,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890000,Leilighet,Eier (Selveier),1,40,43,1.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245968015&location=0.20016&page=2&sort=PUBLISHED_DESC,245968015,"1 day, 0:00:00",1,Trøndelag,19762,2909762,,,,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4700000,Tomannsbolig,Eier (Selveier),2,107,142,2,1920,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=245344926,245344926,"2 days, 0:00:00",0,Trøndelag,118670,4818670,,1044441,1112,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
2590000,Rekkehus,Andel,3,120,134,3,1993,E - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=245971252,245971252,"2 days, 0:00:00",0,Trøndelag,960,2736551,,591083,1397,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
5220000.0,,,,109,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=245174529&location=0.20016&page=2&sort=PUBLISHED_DESC,245174529,0,1,Trøndelag,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2450000,Leilighet,Andel,1,59,64,4,1983,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=245407131,245407131,"2 days, 0:00:00",0,Trøndelag,8776,2610599,,710048,44017,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1490000,Enebolig,Eier (Selveier),4,114,190,,1955,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=237276959,237276959,"2 days, 0:00:00",0,Trøndelag,38420,1528420,12749,341612,1243,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
4300000,Tomannsbolig,Eier (Selveier),3,159,192,2,1977,E - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245653149,245653149,"2 days, 0:00:00",0,Trøndelag,108670,4408670,,941934,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590000,Leilighet,Eier (Selveier),2,59,63,1,1974,F - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=220440399,220440399,"2 days, 0:00:00",0,Trøndelag,39750,1629750,,301972,391,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1090000,Leilighet,Andel,2,88,88,2,2015,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=223623892,223623892,"2 days, 0:00:00",0,Trøndelag,960,3157108,,454357,3087,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
