Finn_bolig_endret
Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID;Nybygg;Enhetsid;Solforhold;Utendørsareal;Tomteareal;Bruttoareal;Rom;Ant etasjer;Tomt;Renovert år;Areal;Boligselgerforsikring;Grunnflate;Festeavgift
Leilighet;Andel;2;65;72;1;1962;G - mørkegrønn;3240000;https://www.finn.no/realestate/homes/ad.html?finnkode=223695343;223695343;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);3;138;150;;2021;;5590000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238890384&page=2&sort=PUBLISHED_DESC;238890384;1;;;;;;;;;;;;;
Enebolig;Eier (Selveier);2;112;157;;1946;G - gul;2350000;https://www.finn.no/realestate/homes/ad.html?finnkode=238901593;238901593;0;;;;;;3;;;;;;;
Leilighet;Eier (Selveier);2;58;58;1;1919;;2800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238913925;238913925;0;;;;;;2;;;;;;;
Leilighet;Andel;2;65;65;1;1951;F - oransje;2700000;https://www.finn.no/realestate/homes/ad.html?finnkode=238833438;238833438;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2;83;85;1;1942;G - rød;3690000;https://www.finn.no/realestate/homes/ad.html?finnkode=229456578;229456578;0;;;;;;;;;;;;;
Tomannsbolig;Eier (Selveier);2;81;84;1;2005;D - rød;2890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238913237;238913237;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);2.0;74.5;;;2021;;5575000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=218322193&page=2&sort=PUBLISHED_DESC;218322193;1;;;;;;;;;;74.5;;;
Enebolig;Eier (Selveier);3;128.5;;;2021;;4265000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238912766&page=2&sort=PUBLISHED_DESC;238912766;1;;;;;;;;;;128.5;;;
Enebolig;Eier (Selveier);3;155;246;;1969;F - gul;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238912287;238912287;0;;;;1005;;;;;;;;;
Leilighet;Eier (Selveier);2;86;93;4;2014;D - mørkegrønn;3790000;https://www.finn.no/realestate/homes/ad.html?finnkode=214188001;214188001;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);3;89;89;;1986;E - gul;2990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238910655;238910655;0;;;;803;;;;;;;;;
Leilighet;Eier (Selveier);2;86;89;4;1976;D - mørkegrønn;4890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238910334;238910334;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);4;219;228;;1936;F - oransje;4940000;https://www.finn.no/realestate/homes/ad.html?finnkode=223924920;223924920;0;;;;760;;;;;;;;;
Annet fritid;Eier (Selveier);2;45;56;;1967;G - oransje;1750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238909452;238909452;0;;;;;;3;;;;;;;
Leilighet;Eier (Selveier);;30;30;;2005;C - rød;2290000;https://www.finn.no/realestate/homes/ad.html?finnkode=238909336;238909336;0;;;;10122;;1;;;;;;;
Enebolig;Eier (Selveier);2;178;186;2;1980;F - rød;7500000;https://www.finn.no/realestate/homes/ad.html?finnkode=236012887;236012887;0;;;;;;;;;;;;;
Rekkehus;Andel;3;135;142;;1969;G - oransje;2950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238907857;238907857;0;;;;;;5;;;;;;;
Leilighet;Eier (Selveier);1;102;102;6;1931;G - mørkegrønn;8650000;https://www.finn.no/realestate/homes/ad.html?finnkode=230699720;230699720;0;;;;;;;;;;;;;
Leilighet;Eier (Selveier);1;45;45;2;1951;G - oransje;3620000;https://www.finn.no/realestate/homes/ad.html?finnkode=232235549;232235549;0;;;;;;;;;;;;;
Enebolig;Eier (Selveier);8;262;276;;1978;E - oransje;4500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238908270;238908270;0;;;;4680;;;;;;;;;
