Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,Boligselgerforsikring,Grunnflate,Festeavgift
Leilighet,Eier (Selveier),2,60,60,1,2021,C - mørkegrønn,3500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239222045,239222045,0,,,,,,,,,,,,,
Gårdsbruk/Småbruk,Eier (Selveier),3,124,132,,1900,G - gul,3790000,https://www.finn.no/realestate/homes/ad.html?finnkode=239223469,239223469,0,,,,105304,,,,,,,,,
Leilighet,Eier (Selveier),3,94,99,2,2006,D - oransje,2900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239223479,239223479,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,50,54,2,,,3450000,https://www.finn.no/realestate/homes/ad.html?finnkode=239223511,239223511,0,,,,1360,,3,,,,,,,
Enebolig,Eier (Selveier),3,144,210,,1983,F - gul,5500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239223232,239223232,0,,,,1877,,,,,,,,,
Enebolig,Eier (Selveier),4,137,161,,1965,F - gul,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=239223255,239223255,0,,,,595,,,,,,,,,
Enebolig,Eier (Selveier),4,184,243,,1923,G - gul,4690000,https://www.finn.no/realestate/homes/ad.html?finnkode=222891994,222891994,0,,,,1152,,,,,,,,,
Leilighet,Andel,2,71,82,14,1971,G - mørkegrønn,1900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239146858,239146858,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,171,208,,2019,B - rød,15900000,https://www.finn.no/realestate/homes/ad.html?finnkode=230032447,230032447,0,,,,387,,,,,,,,,
Leilighet,Eier (Selveier),2,82,82,4,2007,,3390000,https://www.finn.no/realestate/homes/ad.html?finnkode=239222567,239222567,0,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),2,619,67,2,,,3900000,https://www.finn.no/realestate/homes/ad.html?finnkode=239222563,239222563,0,,,,,,3,,Eiet,,,,,
Leilighet,Andel,1,47,47,1,1977,D - rød,2950000,https://www.finn.no/realestate/homes/ad.html?finnkode=239204642,239204642,0,,,,,,,,,,,,,
Leilighet,Andel,2,73,81,3,1968,G - oransje,1250000,https://www.finn.no/realestate/homes/ad.html?finnkode=239222320,239222320,0,,,,,,,,,,,,,
Leilighet,Andel,,41,45,2,1972,F - rød,1710000,https://www.finn.no/realestate/homes/ad.html?finnkode=225913127,225913127,0,,,,3047,,,,,,,,,
Rekkehus,Andel,3,91,121,2,1968,G - oransje,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221947,239221947,0,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),2,69,83,1,1952,,2460000,https://www.finn.no/realestate/homes/ad.html?finnkode=231346517,231346517,0,,,,,,3,,,,,,,
Enebolig,Eier (Selveier),4,150,164,,1979,F - gul,4450000,https://www.finn.no/realestate/homes/ad.html?finnkode=232265002,232265002,0,,,,1057,,,,,,,,,
Enebolig,Eier (Selveier),5,177,185,,1988,D - gul,5490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221693,239221693,0,,,,1083,,,,,,,,,
Tomannsbolig,Eier (Selveier),5,125,135,,1955,G - oransje,800000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221619,239221619,0,,,,317,,,,,,,,,
Leilighet,Eier (Selveier),,382,412,,2000,,9250000,https://www.finn.no/realestate/homes/ad.html?finnkode=230293967,230293967,0,,,,805,448,,,,,,Ja,,
Enebolig,Eier (Selveier),3,122,124,,1975,D - gul,3450000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221570,239221570,0,,,,972,,,,,,,,,
Leilighet,Eier (Selveier),2,73,73,4,2007,D - rød,3650000,https://www.finn.no/realestate/homes/ad.html?finnkode=234375833,234375833,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,88,95,2,1994,E - rød,2995000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221485,239221485,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,168,168,,1998,C - gul,4490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221331,239221331,0,,,,370,,,,,,,,,
Enebolig,Eier (Selveier),3,137,168,,2021,,5840000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232202211&page=2&sort=PUBLISHED_DESC,232202211,1,,,,370,,,,,,,,,
Garasje/Parkering,Andel,0,15,15,1,1997,,675000,https://www.finn.no/realestate/homes/ad.html?finnkode=239213408,239213408,0,,,,,,,,,,,,,
Rekkehus,Andel,3,142,147,1,1974,F - rød,3600000,https://www.finn.no/realestate/homes/ad.html?finnkode=239221013,239221013,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,222,256,,2001,D - oransje,6200000,https://www.finn.no/realestate/homes/ad.html?finnkode=239220629,239220629,0,,,,586,,,,,,,,,
Leilighet,Andel,3,78,81,,1954,G - rød,700000,https://www.finn.no/realestate/homes/ad.html?finnkode=239220558,239220558,0,,,,641,,,,,,,,,
Leilighet,Andel,3,83,97,5,1967,F - mørkegrønn,3700000,https://www.finn.no/realestate/homes/ad.html?finnkode=238943977,238943977,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,54,54,,1940,F - gul,2690000,https://www.finn.no/realestate/homes/ad.html?finnkode=239220548,239220548,0,,,,417,,,,,,,,,
Tomannsbolig,Eier (Selveier),3,118,134,,1975,E - gul,1400000,https://www.finn.no/realestate/homes/ad.html?finnkode=239220082,239220082,0,,,,335,,,,,,,,,
Tomannsbolig,Eier (Selveier),4,136,141,,2021,,4990000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=235012642&page=2&sort=PUBLISHED_DESC,235012642,1,129,,,,,6,1,,,,,,
Leilighet,Eier (Selveier),2,77,82,2,2018,D - oransje,2750000,https://www.finn.no/realestate/homes/ad.html?finnkode=239219558,239219558,0,,,,,,,,,,,,,
Leilighet,Andel,3,84,84,4,1972,,2690000,https://www.finn.no/realestate/homes/ad.html?finnkode=239019219,239019219,0,,,,,,4,,,,,,,
Leilighet,Andel,1,37,37,2,1939,D - gul,3615000,https://www.finn.no/realestate/homes/ad.html?finnkode=237270509,237270509,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,54,87,,1956,F - gul,1200000,https://www.finn.no/realestate/homes/ad.html?finnkode=239219142,239219142,0,,,,1899,,,,,,,,,
Enebolig,Eier (Selveier),0,134,160,,1976,F - gul,950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238974120,238974120,0,,,,1468,,,,,,,,,
Enebolig,Eier (Selveier),0,79.0,160,,2021,,4350000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=225642527&page=2&sort=PUBLISHED_DESC,225642527,1,,,,1468,,,,,,,,,
Tomannsbolig,Eier (Selveier),4,127,137,,2016,B - oransje,3490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239219035,239219035,0,,,,,,5,,,,,,,
Leilighet,Eier (Selveier),2,70,73,1,2004,D - oransje,2100000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218985,239218985,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,114,121,,2008,C - gul,2950000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218968,239218968,0,,,,2503,,,,,,,,,
Leilighet,Andel,1,44,47,4,1999,,700000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218875,239218875,0,,,,6795,,,,,,,,,
Enebolig,Eier (Selveier),3,114,132,,1969,,2490000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218915,239218915,0,,,,1074,,,,,,,Ja,,
Leilighet,Andel,1,55,55,2,1984,E - rød,3100000,https://www.finn.no/realestate/homes/ad.html?finnkode=239078705,239078705,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,129,155,1,1996,F - oransje,3790000,https://www.finn.no/realestate/homes/ad.html?finnkode=239101214,239101214,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,90,97,,2000,D - rød,3300000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218556,239218556,0,,,,1206,,,,,,,,,
Rekkehus,Eier (Selveier),3,101,106,2,1993,C - gul,4600000,https://www.finn.no/realestate/homes/ad.html?finnkode=239203598,239203598,0,,,,,,,,,,,,,
Leilighet,Andel,1,44,44,1,1958,G - oransje,1620000,https://www.finn.no/realestate/homes/ad.html?finnkode=222709937,222709937,0,,,,,,,,,,,,,
Leilighet,Andel,1,65,68,4,1981,F - rød,1950000,https://www.finn.no/realestate/homes/ad.html?finnkode=238504153,238504153,0,,,,,,,,,,,,,
Leilighet,Andel,1,66,80,1,1974,E - lysegrønn,2000000,https://www.finn.no/realestate/homes/ad.html?finnkode=239218520,239218520,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,213,260,,1900,G - gul,5690000,https://www.finn.no/realestate/homes/ad.html?finnkode=235059557,235059557,0,,,,7108,,,,,,,,,
Enebolig,Eier (Selveier),3,139,163,2,1975,F - gul,2350000,https://www.finn.no/realestate/homes/ad.html?finnkode=239141990,239141990,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,103,103,,1950,G - oransje,3940000,https://www.finn.no/realestate/homes/ad.html?finnkode=229687082,229687082,0,,,,,,5,,,,,,,
Enebolig,Eier (Selveier),3,133,142,2,1995,E - oransje,3100000,https://www.finn.no/realestate/homes/ad.html?finnkode=239207310,239207310,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,67,72,2,2016,C - mørkegrønn,3490000,https://www.finn.no/realestate/homes/ad.html?finnkode=231444168,231444168,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,157,176,,1960,F - gul,5590000,https://www.finn.no/realestate/homes/ad.html?finnkode=230248508,230248508,0,,,,,,6,,,,,,,
Tomannsbolig,Eier (Selveier),3,117,117,2,1952,G - oransje,10650000,https://www.finn.no/realestate/homes/ad.html?finnkode=239021100,239021100,0,,,,,,,,,,,,,
Leilighet,Andel,,90,90,,1983,G - mørkegrønn,4650000,https://www.finn.no/realestate/homes/ad.html?finnkode=238836782,238836782,0,,,,35601,100,,,,,,,,
Leilighet,Eier (Selveier),2,66,72,4,1974,E - rød,5450000,https://www.finn.no/realestate/homes/ad.html?finnkode=222635271,222635271,0,,,,,,,,,,,,,
Enebolig,Eier (Selveier),2,117,155,,1952,G - gul,3200000,https://www.finn.no/realestate/homes/ad.html?finnkode=234462554,234462554,0,,,,,,3,,,,,,,
Leilighet,Andel,2,67,67,3,1955,C - gul,4300000,https://www.finn.no/realestate/homes/ad.html?finnkode=239216543,239216543,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,51,54,1,2014,,2290000,https://www.finn.no/realestate/homes/ad.html?finnkode=239128415,239128415,0,,,,,,2,,,,,,,
Leilighet,Eier (Selveier),1,34,34,2,1890,G - rød,2650000,https://www.finn.no/realestate/homes/ad.html?finnkode=239207284,239207284,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),4,147,161,1,1997,,3475000,https://www.finn.no/realestate/homes/ad.html?finnkode=225728332,225728332,0,,,,,,6,,,,,,,
Enebolig,Eier (Selveier),3,124,176,,1996,E - gul,2400000,https://www.finn.no/realestate/homes/ad.html?finnkode=239215464,239215464,0,,,,798,,,,,,,,,
Gårdsbruk/Småbruk,Eier (Selveier),5,191,232,,1976,E - oransje,7500000,https://www.finn.no/realestate/homes/ad.html?finnkode=231327903,231327903,0,,,,22016,,,,,,,,,
Leilighet,Eier (Selveier),4,213,218,4,,D - rød,9950000,https://www.finn.no/realestate/homes/ad.html?finnkode=225829600,225829600,0,,,,,,6,,,,,,,
Leilighet,Eier (Selveier),2.5,105.5,,,2021,,6882500.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239215336&page=3&sort=PUBLISHED_DESC,239215336,1,,,,,,,,,,105.5,,,
Enebolig,Eier (Selveier),3,172,185,2,1978,E - gul,2850000,https://www.finn.no/realestate/homes/ad.html?finnkode=239215348,239215348,0,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,50,51,2,1928,,3750000,https://www.finn.no/realestate/homes/ad.html?finnkode=233363001,233363001,0,,,,,,2,,,,,,,
Enebolig,Eier (Selveier),3,137,176,,1968,G - oransje,2500000,https://www.finn.no/realestate/homes/ad.html?finnkode=239214677,239214677,0,,,,1078,,,,,,,,,
Leilighet,Eier (Selveier),2,95,98,3,1991,,3790000,https://www.finn.no/realestate/homes/ad.html?finnkode=235267506,235267506,0,,,,,,3,,,,,,,
