Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Fylke,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
4748000.0,Leilighet,Eier (Selveier),2.0,75.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=162566346&location=0.22038&page=1&sort=PUBLISHED_DESC,162566346,"1 day, 0:00:00",1,Vestfold og Telemark,1608321501,33640836169501,,,,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
5090000.0,Leilighet,Eier (Selveier),2.5,87.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=239971865&location=0.22038&page=1&sort=PUBLISHED_DESC,239971865,"1 day, 0:00:00",1,Vestfold og Telemark,16370,40063706206370,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3848000.0,Leilighet,Eier (Selveier),2.5,76.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=180973285&location=0.22038&page=1&sort=PUBLISHED_DESC,180973285,"1 day, 0:00:00",1,Vestfold og Telemark,18122,38161223916122,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
6270000.0,Leilighet,Eier (Selveier),2.0,76.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=220323998&location=0.22038&page=1&sort=PUBLISHED_DESC,220323998,"1 day, 0:00:00",1,Vestfold og Telemark,95009950,33295009229500,,,,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
4850000,Rekkehus,Eier (Selveier),3,111,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=216910082&location=0.22038&page=1&sort=PUBLISHED_DESC,216910082,"1 day, 0:00:00",1,Vestfold og Telemark,35092,4885092,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2475000.0,Leilighet,Andel,,73.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=188385117&location=0.22038&page=1&sort=PUBLISHED_DESC,188385117,"17 days, 0:00:00",1,Vestfold og Telemark,6159,30061596906159,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6790000.0,Leilighet,Eier (Selveier),2.5,103.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=213170087&location=0.22038&page=1&sort=PUBLISHED_DESC,213170087,"1 day, 0:00:00",1,Vestfold og Telemark,1952024940,58095207814940,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5950000,Enebolig,Eier (Selveier),7,300,310,,1931,G - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=246055756,246055756,"1 day, 0:00:00",0,Vestfold og Telemark,168592,6118592,29436,1081001,1651,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
1300000,Enebolig,Eier (Selveier),4,152,178,,1920,,https://www.finn.no/realestate/homes/ad.html?finnkode=246026941,246026941,0:00:00,0,Vestfold og Telemark,48370,1348370,14831,440077,977,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1990000,Leilighet,Eier (Selveier),1,45,45,2,1930,G - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=246027239,246027239,"2 days, 0:00:00",0,Vestfold og Telemark,65392,2055392,11000,,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350000,Leilighet,Eier (Selveier),2,67,67,2,1740,C - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246010221,246010221,"1 day, 0:00:00",0,Vestfold og Telemark,60092,2410092,13007,567969,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
4950000,Enebolig,Eier (Selveier),3,204,211,,1929,F - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=245189731,245189731,"2 days, 0:00:00",0,Vestfold og Telemark,125195,5075195,21228,961862,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4390000,Enebolig,Eier (Selveier),3,188,258,,1970,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=246005801,246005801,0:00:00,0,Vestfold og Telemark,125392,4515392,23629,868287,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690000,Leilighet,Andel,,33,39,4,1960,G - mørkegrønn,https://www.finn.no/realestate/homes/ad.html?finnkode=237713064,237713064,0:00:00,0,Vestfold og Telemark,8032,1265904,,249138,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550000,Gårdsbruk/Småbruk,Eier (Selveier),0,60,60,,1920,,https://www.finn.no/realestate/homes/ad.html?finnkode=245975040,245975040,"2 days, 0:00:00",0,Vestfold og Telemark,30000,580000,0,0,12967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
7650000,Enebolig,Eier (Selveier),5,197,272,,1992,,https://www.finn.no/realestate/homes/ad.html?finnkode=245979111,245979111,0:00:00,0,Vestfold og Telemark,206892,7856892,,1400531,1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3190000,Tomannsbolig,Eier (Selveier),3,111,119,,2014,B - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245973737,245973737,0:00:00,0,Vestfold og Telemark,95392,3285392,17156,834350,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450000,Enebolig,Eier (Selveier),4,139,157,,1986,F - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245973459,245973459,0:00:00,0,Vestfold og Telemark,51892,1501892,18510,440985,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8192500.0,Leilighet,Eier (Selveier),2.5,110.0,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=183782714&location=0.22038&page=1&sort=PUBLISHED_DESC,183782714,"2 days, 0:00:00",1,Vestfold og Telemark,2217024070,74121709019070,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647500.0,Leilighet,Andel,2.5,80.5,,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=200200375&location=0.22038&page=1&sort=PUBLISHED_DESC,200200375,"2 days, 0:00:00",1,Vestfold og Telemark,1495716857,48349575786857,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2490000,Enebolig,Andel,3,103,106,,1977,G - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=245499375,245499375,"2 days, 0:00:00",0,Vestfold og Telemark,3823,2963858,,615216,10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
