Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Pris,URL,ID,Nybygg,Eieform,Enhetsid,Solforhold,Utendørsareal,Tomteareal,Bruttoareal,Rom,Ant etasjer,Tomt,Renovert år,Areal,dato:21.06: ca. sol fra 15:30 - 21:30,Boligselgerforsikring,Grunnflate
Leilighet,Eier (Selveier),2,109,109,3,1874,G - rød,3390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238903805,238903805,0,,,,,,,,,,,,,,
Leilighet,Andel,2,93,106,3,2013,,2800000,https://www.finn.no/realestate/homes/ad.html?finnkode=229107450,229107450,0,,,,,,,3,,,,,,,
Leilighet,Eier (Selveier),3,82,82,2,1958,B - gul,5000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238823836,238823836,0,,,,,,,,,,,,,,
Leilighet,Andel,2,86,86,1,1861,,2150000,https://www.finn.no/realestate/homes/ad.html?finnkode=238827695,238827695,0,,,,,,,2,,,,,,,
Enebolig,Eier (Selveier),,88,88,,1885,G - gul,2790000,https://www.finn.no/realestate/homes/ad.html?finnkode=238903034,238903034,0,,,,,708 m² (eiet),99 m²,,,,,,,,
Tomannsbolig,Eier (Selveier),2,70,70,2,1890,G - rød,2990000,https://www.finn.no/realestate/homes/ad.html?finnkode=235981541,235981541,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),0,34,41,1,1870,,1500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238829564,238829564,0,,,,,,,3,,,,,,,
Leilighet,Andel,2,65,67,1,1952,G - oransje,5750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238088782,238088782,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,87,178,,1967,G - oransje,3290000,https://www.finn.no/realestate/homes/ad.html?finnkode=238899994,238899994,0,,,,,,,5,,,,,,,
Leilighet,Andel,1,54,59,1,1976,F - rød,1100000,https://www.finn.no/realestate/homes/ad.html?finnkode=238901975,238901975,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,111,208,,1889,G - oransje,2200000,https://www.finn.no/realestate/homes/ad.html?finnkode=238467426,238467426,0,,,,,,,4,,,,,,,
Leilighet,Andel,2,76,85,1,1969,F - rød,2175000,https://www.finn.no/realestate/homes/ad.html?finnkode=231532605,231532605,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,93,130,2,1952,G - gul,1490000,https://www.finn.no/realestate/homes/ad.html?finnkode=238208731,238208731,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,76,79,2,2000,D - rød,7000000,https://www.finn.no/realestate/homes/ad.html?finnkode=237307362,237307362,0,,,,,,,,,,,,,,
Leilighet,Andel,2,73,73,,1963,G - rød,2000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238900193,238900193,0,,,,,4544 m²,,,,,,,,,
Leilighet,Eier (Selveier),2,68,71,2,2015,,4750000,https://www.finn.no/realestate/homes/ad.html?finnkode=237276045,237276045,0,,,,,,,3,,,,,,,
Bygård/Flermannsbolig,Eier (Selveier),2,75,75,,1938,G - oransje,1790000,https://www.finn.no/realestate/homes/ad.html?finnkode=236976930,236976930,0,,,,,1703 m² (eiet),,,,,,,,,
Leilighet,Aksje,2,74,74,3,1951,G - rød,3990000,https://www.finn.no/realestate/homes/ad.html?finnkode=238795362,238795362,0,,,,,,,,,,,,,,
Leilighet,,1 - 3,77.5,,,2021,,4775000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=209642176&page=3&sort=PUBLISHED_DESC,209642176,1,Eier (Selveier),,,,,,,,,,70 - 85 m²,,,
Enebolig,Eier (Selveier),5,193,301,3,1913,,1790000,https://www.finn.no/realestate/homes/ad.html?finnkode=238899429,238899429,0,,,,,,,6,,,,,,,
Leilighet,Eier (Selveier),2,54,57,2,2012,B - oransje,3150000,https://www.finn.no/realestate/homes/ad.html?finnkode=233676980,233676980,0,,,,,,,,,,,,,,
Leilighet,Andel,1,51,54,1,1959,G - oransje,2390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238799445,238799445,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),4,110,133,3,1949,G - gul,1100000,https://www.finn.no/realestate/homes/ad.html?finnkode=238894678,238894678,0,,,,,,,,,,,,,,
Leilighet,Aksje,3,80,83,,1922,,7250000,https://www.finn.no/realestate/homes/ad.html?finnkode=235479667,235479667,0,,,,,,,4,,Eiet,,,,,
Leilighet,Aksje,3,92.0,83,,2021,,6555000.0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219148511&page=3&sort=PUBLISHED_DESC,219148511,1,,,,,,,4,,Eiet,,,,,
Leilighet,Andel,2,73,82,1,1953,,3790000,https://www.finn.no/realestate/homes/ad.html?finnkode=238814422,238814422,0,,,,,,,3,,,,,,,
Enebolig,Eier (Selveier),5,190,203,,2007,,6390000,https://www.finn.no/realestate/homes/ad.html?finnkode=238898280,238898280,0,,,,,988 m² (eiet),223 m²,,,,,,,,
Leilighet,Eier (Selveier),2,74,77,1,1991,D - rød,3150000,https://www.finn.no/realestate/homes/ad.html?finnkode=236161939,236161939,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,51,51,6,1938,G - rød,5750000,https://www.finn.no/realestate/homes/ad.html?finnkode=234239652,234239652,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,,51,6,2021,,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219195949&page=3&sort=PUBLISHED_DESC,219195949,1,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,72,76,2,1995,E - oransje,2590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238814522,238814522,0,,,,,,,,,,,,,,
Rekkehus,Eier (Selveier),2,103,121,2,1954,G - oransje,4950000,https://www.finn.no/realestate/homes/ad.html?finnkode=234582183,234582183,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,60,60,1,1990,G - rød,2790000,https://www.finn.no/realestate/homes/ad.html?finnkode=233760311,233760311,0,,,,,,,,,,,,,,
Rekkehus,Andel,3,97,101,,1989,E - oransje,3090000,https://www.finn.no/realestate/homes/ad.html?finnkode=238897047,238897047,0,,,,,28490 m²,,,,,,,,,
Leilighet,Andel,2,56,58,5,1960,B - gul,3500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238793315,238793315,0,,,,,,,,,,,,,,
Leilighet,Andel,1,51,51,1,1953,G - oransje,2400000,https://www.finn.no/realestate/homes/ad.html?finnkode=238894295,238894295,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,65,65,6,2000,D - mørkegrønn,6150000,https://www.finn.no/realestate/homes/ad.html?finnkode=234678411,234678411,0,,,,,,,,,,,,,,
Leilighet,Andel,2,62,62,1,1964,G - rød,1800000,https://www.finn.no/realestate/homes/ad.html?finnkode=238896259,238896259,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,72,75,2,2005,E - rød,2300000,https://www.finn.no/realestate/homes/ad.html?finnkode=238896067,238896067,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),3,85,90,,1995,E - oransje,4590000,https://www.finn.no/realestate/homes/ad.html?finnkode=238895930,238895930,0,,,,,3709 m² (eiet),,,,,,,,,
Leilighet,Eier (Selveier),2,90,96,3,2007,D - oransje,3750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238265379,238265379,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),1,38,38,4,2018,B - rød,3190000,https://www.finn.no/realestate/homes/ad.html?finnkode=236975717,236975717,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,63,66,3,2014,,3690000,https://www.finn.no/realestate/homes/ad.html?finnkode=238895269,238895269,0,,,,,,,3,,,,,,,
Leilighet,,1,42 ,46,,2021,,2950000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238895258&page=3&sort=PUBLISHED_DESC,238895258,1,Eier (Selveier),B14,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,71,90,2,1990,D - lysegrønn,5500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238755312,238755312,0,,,,,,,,,,,,,,
Leilighet,,2,65 ,68,,2021,,4690000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238894872&page=3&sort=PUBLISHED_DESC,238894872,1,Eier (Selveier),D12,,,,,,,,,,,,
Leilighet,Andel,2,86,95,22,1985,F - oransje,1990000,https://www.finn.no/realestate/homes/ad.html?finnkode=237719040,237719040,0,,,,,,,,,,,,,,
Enebolig,Eier (Selveier),3,172,216,2,1975,,4000000,https://www.finn.no/realestate/homes/ad.html?finnkode=238894117,238894117,0,,,,,,,5,,,,,,,
Leilighet,Eier (Selveier),1,41,41,3,1975,E - rød,2750000,https://www.finn.no/realestate/homes/ad.html?finnkode=238844605,238844605,0,,,,,,,,,,,,,,
Tomannsbolig,Eier (Selveier),5,267,330,3,1934,,4575000,https://www.finn.no/realestate/homes/ad.html?finnkode=238893694,238893694,0,,,,,,,12,,,,,,,
Tomannsbolig,Eier (Selveier),4,192,204,3,1952,G - oransje,2900000,https://www.finn.no/realestate/homes/ad.html?finnkode=229101292,229101292,0,,,,,,,,,,,,,,
Leilighet,Andel,2,83,95,1,1969,F - oransje,2500000,https://www.finn.no/realestate/homes/ad.html?finnkode=238826441,238826441,0,,,,,,,,,,,,,,
Leilighet,Eier (Selveier),2,93,96,2,1904,G - rød,3890000,https://www.finn.no/realestate/homes/ad.html?finnkode=238795701,238795701,0,,,,,,,,,,,,,,
Leilighet,,2,57 ,57,7.,2021,,3590000,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238892978&page=3&sort=PUBLISHED_DESC,238892978,1,Eier (Selveier),0704,Balkongen ligger vestvendt som gir svært gode solforhold.,,,,3,,,,,Error,,
Leilighet,Eier (Selveier),4,121,124,,1930,E - oransje,5600000,https://www.finn.no/realestate/homes/ad.html?finnkode=238849104,238849104,0,,,,,,,5,,,,,,,
