Boligtype;Eieform bolig;Soverom;Primærrom;Bruksareal;Etasje;Byggeår;Energimerking;Pris;URL;ID
Leilighet;Eier (Selveier);1;51;51;6;1938;G - rød;5750000;https://www.finn.no/realestate/homes/ad.html?finnkode=234239652;234239652
Leilighet;Eier (Selveier);1;51;51;6;1938;G - rød;;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219195949&page=2&sort=PUBLISHED_DESC;219195949
Leilighet;Eier (Selveier);2;72;76;2;1995;E - oransje;2590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238814522;238814522
Rekkehus;Eier (Selveier);2;103;121;2;1954;G - oransje;4950000;https://www.finn.no/realestate/homes/ad.html?finnkode=234582183;234582183
Leilighet;Eier (Selveier);1;60;60;1;1990;G - rød;2790000;https://www.finn.no/realestate/homes/ad.html?finnkode=233760311;233760311
Rekkehus;Andel;3;97;101;;1989;E - oransje;3090000;https://www.finn.no/realestate/homes/ad.html?finnkode=238897047;238897047
Leilighet;Andel;2;56;58;5;1960;B - gul;3500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238793315;238793315
Leilighet;Andel;1;51;51;1;1953;G - oransje;2400000;https://www.finn.no/realestate/homes/ad.html?finnkode=238894295;238894295
Leilighet;Eier (Selveier);1;65;65;6;2000;D - mørkegrønn;6150000;https://www.finn.no/realestate/homes/ad.html?finnkode=234678411;234678411
Leilighet;Andel;2;62;62;1;1964;G - rød;1800000;https://www.finn.no/realestate/homes/ad.html?finnkode=238896259;238896259
Leilighet;Eier (Selveier);2;72;75;2;2005;E - rød;2300000;https://www.finn.no/realestate/homes/ad.html?finnkode=238896067;238896067
Leilighet;Eier (Selveier);3;85;90;;1995;E - oransje;4590000;https://www.finn.no/realestate/homes/ad.html?finnkode=238895930;238895930
Leilighet;Eier (Selveier);2;90;96;3;2007;D - oransje;3750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238265379;238265379
Leilighet;Eier (Selveier);1;38;38;4;2018;B - rød;3190000;https://www.finn.no/realestate/homes/ad.html?finnkode=236975717;236975717
Leilighet;Eier (Selveier);1;38;38;4;2018;B - rød;2950000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238895258&page=2&sort=PUBLISHED_DESC;238895258
Leilighet;Eier (Selveier);2;63;66;3;2014;;3690000;https://www.finn.no/realestate/homes/ad.html?finnkode=238895269;238895269
Leilighet;Eier (Selveier);2;71;90;2;1990;D - lysegrønn;5500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238755312;238755312
Leilighet;Eier (Selveier);2;71;90;2;1990;D - lysegrønn;4690000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238894872&page=2&sort=PUBLISHED_DESC;238894872
Leilighet;Andel;2;86;95;22;1985;F - oransje;1990000;https://www.finn.no/realestate/homes/ad.html?finnkode=237719040;237719040
Enebolig;Eier (Selveier);3;172;216;2;1975;;4000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238894117;238894117
Leilighet;Eier (Selveier);1;41;41;3;1975;E - rød;2750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238844605;238844605
Tomannsbolig;Eier (Selveier);5;267;330;3;1934;;4575000;https://www.finn.no/realestate/homes/ad.html?finnkode=238893694;238893694
Tomannsbolig;Eier (Selveier);4;192;204;3;1952;G - oransje;2900000;https://www.finn.no/realestate/homes/ad.html?finnkode=229101292;229101292
Leilighet;Andel;2;83;95;1;1969;F - oransje;2500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238826441;238826441
Leilighet;Eier (Selveier);2;93;96;2;1904;G - rød;3890000;https://www.finn.no/realestate/homes/ad.html?finnkode=238795701;238795701
Leilighet;Eier (Selveier);2;93;96;2;1904;G - rød;3590000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=238892978&page=2&sort=PUBLISHED_DESC;238892978
Leilighet;Eier (Selveier);4;121;124;;1930;E - oransje;5600000;https://www.finn.no/realestate/homes/ad.html?finnkode=238849104;238849104
Tomannsbolig;Eier (Selveier);3;109;111;3;2013;B - oransje;7450000;https://www.finn.no/realestate/homes/ad.html?finnkode=238872185;238872185
Rekkehus;Eier (Selveier);3;114;121;3;1972;E - gul;3250000;https://www.finn.no/realestate/homes/ad.html?finnkode=238824661;238824661
Enebolig;Eier (Selveier);3;97;97;3;1950;G - gul;2850000;https://www.finn.no/realestate/homes/ad.html?finnkode=238850590;238850590
Enebolig;Eier (Selveier);3;124;129;2;1938;G - gul;4200000;https://www.finn.no/realestate/homes/ad.html?finnkode=238834436;238834436
Enebolig;Eier (Selveier);2;152;198;;1939;G - gul;4100000;https://www.finn.no/realestate/homes/ad.html?finnkode=238847267;238847267
Enebolig;Eier (Selveier);5;195;234;;1936;G - gul;3000000;https://www.finn.no/realestate/homes/ad.html?finnkode=238892604;238892604
Leilighet;Andel;1;46;46;3;2006;E - rød;1990000;https://www.finn.no/realestate/homes/ad.html?finnkode=238826682;238826682
Leilighet;Aksje;1;49;49;4;1936;G - mørkegrønn;3870000;https://www.finn.no/realestate/homes/ad.html?finnkode=238812352;238812352
Enebolig;Eier (Selveier);2;76;151;;1965;G - oransje;2150000;https://www.finn.no/realestate/homes/ad.html?finnkode=238892109;238892109
Tomannsbolig;Eier (Selveier);3;81;81;3;1955;;1390000;https://www.finn.no/realestate/homes/ad.html?finnkode=238285546;238285546
Leilighet;Andel;2;65;67;1;1952;G - oransje;5750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238088782;238088782
Enebolig;Eier (Selveier);3;93;140;;1993;E - gul;2500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238891037;238891037
Enebolig;Eier (Selveier);3;93;140;;1993;E - gul;4198000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=215511204&page=3&sort=PUBLISHED_DESC;215511204
Rekkehus;Eier (Selveier);2;118;129;;1972;;2190000;https://www.finn.no/realestate/homes/ad.html?finnkode=238890478;238890478
Rekkehus;Andel;3;127;137;;1987;E - gul;4500000;https://www.finn.no/realestate/homes/ad.html?finnkode=238888612;238888612
Rekkehus;Andel;3;127;137;;1987;E - gul;7850000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=223083482&page=3&sort=PUBLISHED_DESC;223083482
Leilighet;Andel;2;68;88;3;1971;F - rød;1950000;https://www.finn.no/realestate/homes/ad.html?finnkode=238754758;238754758
Enebolig;Eier (Selveier);3;172;231;;1976;F - oransje;3885000;https://www.finn.no/realestate/homes/ad.html?finnkode=238511835;238511835
Tomannsbolig;Eier (Selveier);3;156;156;;1949;F - oransje;11750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238854684;238854684
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;10750000;https://www.finn.no/realestate/homes/ad.html?finnkode=238496337;238496337
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3040000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=205288446&page=3&sort=PUBLISHED_DESC;205288446
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;12150000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232246153&page=3&sort=PUBLISHED_DESC;232246153
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;1760000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219212611&page=3&sort=PUBLISHED_DESC;219212611
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;4750000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=192333784&page=3&sort=PUBLISHED_DESC;192333784
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2820000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232218429&page=3&sort=PUBLISHED_DESC;232218429
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6375000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195744613&page=3&sort=PUBLISHED_DESC;195744613
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3805000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232187731&page=3&sort=PUBLISHED_DESC;232187731
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2472500.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=185756651&page=3&sort=PUBLISHED_DESC;185756651
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6990000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195710042&page=3&sort=PUBLISHED_DESC;195710042
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2800000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=205291709&page=3&sort=PUBLISHED_DESC;205291709
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;1750000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=191697428&page=3&sort=PUBLISHED_DESC;191697428
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2100000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228879936&page=3&sort=PUBLISHED_DESC;228879936
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;4350000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=195747269&page=3&sort=PUBLISHED_DESC;195747269
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3205000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219270211&page=3&sort=PUBLISHED_DESC;219270211
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2835000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=205260392&page=3&sort=PUBLISHED_DESC;205260392
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;6665000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=219198020&page=3&sort=PUBLISHED_DESC;219198020
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;3840000;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=208581617&page=3&sort=PUBLISHED_DESC;208581617
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;1085000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=161784217&page=3&sort=PUBLISHED_DESC;161784217
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;1356000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=232214736&page=3&sort=PUBLISHED_DESC;232214736
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;5670000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=225488358&page=3&sort=PUBLISHED_DESC;225488358
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;1542000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228858127&page=3&sort=PUBLISHED_DESC;228858127
Enebolig;Eier (Selveier);4;176;187;3;2005;D - oransje;2863000.0;https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=156275255&page=3&sort=PUBLISHED_DESC;156275255
